time,value
2025-02-01 16:34:25.856768+00:00,2689
2025-02-01 16:34:27.708421+00:00,3213
2025-02-01 16:34:29.857405+00:00,3520
2025-02-01 16:34:31.706181+00:00,4059
2025-02-01 16:34:33.856163+00:00,4095
2025-02-01 16:34:35.903817+00:00,4095
2025-02-01 16:34:37.731816+00:00,4095
2025-02-01 16:34:39.893453+00:00,4095
2025-02-01 16:34:41.703498+00:00,4095
2025-02-01 16:34:43.703715+00:00,4095
2025-02-01 16:34:45.702453+00:00,3373
2025-02-01 16:34:47.880238+00:00,2865
2025-02-01 16:34:49.729300+00:00,2242
2025-02-01 16:34:51.878930+00:00,4095
2025-02-01 16:34:53.728399+00:00,4095
2025-02-01 16:34:55.866988+00:00,144
2025-02-01 16:34:57.708439+00:00,0
2025-02-01 16:34:59.876115+00:00,0
2025-02-01 16:35:01.706850+00:00,82
2025-02-01 16:35:03.717331+00:00,819
2025-02-01 16:35:05.903210+00:00,1847
2025-02-01 16:35:07.754120+00:00,4095
2025-02-01 16:35:09.913129+00:00,3519
2025-02-01 16:35:11.843254+00:00,4048
2025-02-01 16:35:13.913032+00:00,4095
2025-02-01 16:35:15.840770+00:00,4095
2025-02-01 16:35:17.891634+00:00,4095
2025-02-01 16:35:19.711571+00:00,4095
2025-02-01 16:35:21.709351+00:00,4095
2025-02-01 16:35:23.718629+00:00,3886
2025-02-01 16:35:25.707300+00:00,2736
2025-02-01 16:35:27.737059+00:00,4095
2025-02-01 16:35:29.865430+00:00,4095
2025-02-01 16:35:31.705198+00:00,48
2025-02-01 16:35:33.864642+00:00,0
2025-02-01 16:35:35.704828+00:00,4095
2025-02-01 16:35:37.692355+00:00,0
2025-02-01 16:35:39.913602+00:00,511
2025-02-01 16:35:41.861900+00:00,1661
2025-02-01 16:35:43.701054+00:00,2544
2025-02-01 16:35:45.751897+00:00,3418
2025-02-01 16:35:47.889087+00:00,4095
2025-02-01 16:35:49.709986+00:00,4095
2025-02-01 16:35:51.888500+00:00,4095
2025-02-01 16:35:53.948066+00:00,4095
2025-02-01 16:35:55.717980+00:00,4095
